City,Popul2020
"New York, NY",8804190
"Los Angeles, CA",3898747
"Chicago, IL",2746388
"Houston, TX",2304580
"Phoenix, AZ",1608139
"Philadelphia, PA",1603797
"San Antonio, TX",1434625
"San Diego, CA",1386932
"Dallas, TX",1304379
"San Jose, CA",1013240
"Austin, TX",961855
"Jacksonville, FL",949611
"Fort Worth, TX",918915
"Columbus, OH",905748
"Indianapolis, IN",887642
"Charlotte, NC",874579
"San Francisco, CA",873965
"Seattle, WA",737015
"Denver, CO",715522
"Washington, DC",689545
"Nashville, TN",689447
"Oklahoma City, OK",681054
"El Paso, TX",678815
"Boston, MA",675647
"Portland, OR",652503
"Las Vegas, NV",641903
"Detroit, MI",639111
"Memphis, TN",633104
"Louisville, KY",633045
"Baltimore, MD",585708
